"Source:","F:\Bipolar20A_box_04_01_19-20221018T193719Z-001\Bipolar20A_box_04_01_19\Bipolar20A_box\front\front.kicad_sch"
"Date:","4/19/2023 12:18:38 PM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","40"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C15, C16, C17, C18","12","0.1uF","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"D1, D2, D4, D5","4","D","D","zmyfootprint:Diode_SOD80","Diode","",""
"D3, D6","2","LED","LED","zmyfootprint:LED","Light emitting diode","",""
"J1, J2, J4, J7","4","Conn_Coaxial","Conn_Coaxial-conn","zmyfootprint:BNC-Vertical","","",""
"J3","1","Conn_02x08_Odd_Even","Conn_02x08_Odd_Even-conn","zmyfootprint:16PinConn","","",""
"J5","1","Conn_02x07_Odd_Even","Conn_02x07_Odd_Even-conn","zmyfootprint:14PinConn","","",""
"R1, R2, R11","3","50","R","Resistors_SMD:R_0603","Resistor","",""
"R3","1","1M","R","Resistors_SMD:R_0603","Resistor","",""
"R4","1","DNP","R","Resistors_SMD:R_0805","Resistor","",""
"R5","1","200","R","Resistors_SMD:R_0603","Resistor","",""
"R10","1","1k","R","Resistors_SMD:R_0603","Resistor","",""
"R20, R21","2","200","R","Resistors_SMD:R_0805","Resistor","",""
"S1, S2","2","MAX4656","MAX4656","Housings_SOIC:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","","",""
"U1, U2, U4","3","AD8421","AD8421-linear","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","",""
"U3, U5","2","TC7SZ125FU","TC7SZ125FU-TC7SZ125FU","zmyfootprint:TC7SZ125FU","","",""
